State Region Tag,State Name,Owner,Owner Tag,Building Type,Level,Production Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GUANGXI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GUIZHOU,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_HENAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_HINGGAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_HUNAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_JIANGSU,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_JIANGXI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NANJING,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NINGXIA,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NORTHERN_ANHUI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NORTHERN_MANCHURIA,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_QINGHAI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SHANDONG,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SHANXI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SHAOZHOU,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SHENGJING,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SICHUAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SOUTHERN_ANHUI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SOUTHERN_MANCHURIA,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SUZHOU,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_TIANSHAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WESTERN_HUBEI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_XIAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_YUNNAN,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ZHEJIANG,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ZHILI,,China,c:CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ANTOFAGASTA,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ARAUCANIA,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_AREQUIPA,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_LOS_RIOS,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SANTIAGO,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_TAHITI,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_TARAPACA,,Chile,c:CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ANTIOQUIA,,Columbia,c:CLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CAUCA,,Columbia,c:CLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CUNDINAMARCA,,Columbia,c:CLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GUAVIARE,,Columbia,c:CLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CONGO,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GABON,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NORTH_CAMEROON,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SOUTH_CAMEROON,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_UBANGI_SHARI,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WADDAI,,German Cameroon,c:CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_COSTA_RICA,,Costa Rica,c:COS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CUBA,,Cuba,c:CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ACEH,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CELEBES,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CENTRAL_JAVA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_EAST_BORNEO,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_EAST_JAVA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_MOLUCCAS,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_NORTH_SUMATRA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SOUTH_SUMATRA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SUNDA_ISLANDS,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WEST_BORNEO,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WEST_JAVA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WESTERN_NEW_GUINEA,,Dutch East Indies,c:DEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GREENLAND,,Denmark,c:DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ICELAND,,Denmark,c:DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_JUTLAND,,Denmark,c:DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WEST_INDIES,,Denmark,c:DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ZEALAND,,Denmark,c:DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ERITREA,,French Somaliland,c:DJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SANTO_DOMINGO,,Dominican Republic,c:DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ECUADOR,,Ecuador,c:ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_PASTAZA,,Ecuador,c:ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_EGYPTIAN_DESERT,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_LOWER_EGYPT,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_MATRUH,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_MIDDLE_EGYPT,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SINAI,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_UPPER_EGYPT,,Egypt,c:EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SAN_SALVADOR,,El Salvador,c:ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CHAD,,French Equatorial Africa,c:EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CONGO,,French Equatorial Africa,c:EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GABON,,French Equatorial Africa,c:EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_UBANGI_SHARI,,French Equatorial Africa,c:EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WADDAI,,Frech Equatorial Africa,c:EQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ERITREA,,Italian Eritrea,c:ERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_AMHARA,,Ethiopia,c:ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_GONDER,,Ethiopia,c:ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_OROMIA,,Ethiopia,c:ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ALAND,,Finland,c:FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_OSTROBOTHNIA,,Finland,c:FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_SOUTHERN_FINLAND,,Finland,c:FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_WEST_KARELIA,,Finland,c:FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_KANAK,,French Polynesia,c:FPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_TAHITI,,French Polynesia,c:FPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_ALGIERS,Algiers,France,c:FRA,building_wheat_farm,10,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,5,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_unrefrigerated pm_homesteading,building_iron_mine,5,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_iron_mine,building_lead_mine,5,pm_condensing_engine_pump_building_lead_mine pm_nitroglycerin_building_lead_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_lead_mine,building_cotton_plantation,20,default_building_cotton_plantation pm_road_carts pm_privately_owned_plantation,building_fishing_wharf,5,pm_fishing_trawlers pm_refrigerated_storage_building_fishing_wharf pm_publicly_traded_building_fishing_wharf,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,1,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_port,5,pm_industrial_port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_AQUITAINE,Aquitane,France,c:FRA,building_food_industry,10,pm_baking_powder pm_cannery pm_disabled_distillery pm_publicly_traded_building_food_industry,building_wheat_farm,20,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,8,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,30,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_logging_camp,10,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_fishing_wharf,5,pm_fishing_trawlers pm_refrigerated_storage_building_fishing_wharf pm_publicly_traded_building_fishing_wharf,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,2,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_university,3,pm_philosophy_department pm_secular_academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_AUVERGNE_LIMOUSIN,Auvergne-Limosin,France,c:FRA,building_glassworks,20,pm_crystal_glass pm_bone_china pm_publicly_traded_building_glassworks,building_steel_mills,10,pm_open_hearth_process pm_rotary_valve_engine_building_steel_mills pm_publicly_traded_building_steel_mills,building_wheat_farm,20,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,8,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,5,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_coal_mine,5,pm_condensing_engine_pump_building_coal_mine pm_nitroglycerin_building_coal_mine pm_steam_donkey_building_coal_mine pm_publicly_traded_building_coal_mine ,building_iron_mine,5,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_iron_mine,building_logging_camp,20,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,1,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_BRITTANY,Brittany,France,c:FRA,building_food_industry,30,pm_baking_powder pm_cannery pm_patent_stills pm_publicly_traded_building_food_industry,building_military_shipyards,20,pm_military_shipbuilding_steam pm_government_run_building_military_shipyards,building_wheat_farm,30,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,8,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,20,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_logging_camp,10,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_fishing_wharf,20,pm_fishing_trawlers pm_refrigerated_storage_building_fishing_wharf pm_publicly_traded_building_fishing_wharf,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,2,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_port,10,pm_industrial_port,building_university,3,pm_philosophy_department pm_secular_academia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_BURGUNDY,Burgundy,France,c:FRA,building_glassworks,10,pm_crystal_glass pm_disabled_ceramics pm_publicly_traded_building_glassworks,building_tooling_workshops,30,pm_steel pm_rotary_valve_engine_building_tooling_workshops pm_publicly_traded_building_tooling_workshops,building_explosives_factory,10,pm_vacuum_evaporation pm_publicly_traded_building_explosives_factory,building_steel_mills,20,pm_open_hearth_process pm_rotary_valve_engine_building_steel_mills pm_publicly_traded_building_steel_mills,building_motor_industry,30,pm_electric_engines pm_automobiles_disabled pm_rotary_valve_engine_building_motor_industry pm_publicly_traded_building_motor_industries,building_artillery_foundries,10,pm_breech_loaders pm_rotary_valve_engine_building_artillery_foundries pm_publicly_traded_building_artillery_foundries,building_wheat_farm,30,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,20,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,5,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_logging_camp,20,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,8,pm_electric_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_construction_sector,30,pm_steel_frame_buildings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CHAMPAGNE,Champagne,France,c:FRA,building_wheat_farm,30,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,8,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,30,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_iron_mine,5,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_iron_mine,building_logging_camp,20,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,5,pm_electric_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CONSTANTINE,Constantine,France,c:FRA,building_wheat_farm,5,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,5,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_unrefrigerated pm_homesteading,building_iron_mine,5,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_iron_mine,building_sulfur_mine,5,pm_condensing_engine_pump_building_sulfur_mine pm_nitroglycerin_building_sulfur_mine pm_steam_donkey_mine pm_road_carts,building_fishing_wharf,1,pm_fishing_trawlers pm_refrigerated_storage_building_fishing_wharf pm_publicly_traded_building_fishing_wharf,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,1,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_port,1,pm_industrial_port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_CORSICA,Corsica,France,c:FRA,building_wheat_farm,10,pm_fertilization pm_no_secondary pm_steam_threshers pm_homesteading,building_livestock_ranch,2,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_refrigerated_storage_building_livestock_ranch pm_homesteading,building_vineyard_plantation,2,default_building_vineyard_plantation pm_road_carts pm_privately_owned_plantation,building_logging_camp,2,pm_electric_saw_mills pm_hardwood pm_steam_donkey_building_logging_camp pm_road_carts pm_publicly_traded_building_logging_camp,building_fishing_wharf,5,pm_fishing_trawlers pm_refrigerated_storage_building_fishing_wharf pm_publicly_traded_building_fishing_wharf,building_power_plant,1,pm_coal-fired_plant pm_publicly_traded_building_power_plant,building_government_administration,1,pm_vertical_filing_cabinets pm_professional_bureaucrats pm_secular_bureaucrats,building_railway,1,pm_steam_trains pm_steel_passenger_carriages pm_publicly_traded_building_railway,building_port,2,pm_industrial_port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s:STATE_EAST_SAHARA,East Sahara,France,c:FRA,building_livestock_ranch,2,pm_slaughterhouses pm_sheep_farms pm_barbed_wire_fences pm_unrefrigerated pm_homesteading,building_iron_mine,5,pm_condensing_engine_pump_building_iron_mine pm_nitroglycerin_building_iron_mine pm_steam_donkey_mine pm_road_carts pm_publicly_traded_building_iron_mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
