Country,Tag,Governance,Power Distribution,Citizenship,Religion,Bureaucracy,Army,Internal Security,Economic System,Trade,Taxation,Land Reform,Colonization,Police,Education,Healthcare,Speech,Labor Rights,Children's Rights,Women's Rights,Welfare,Migration,Slavery
Jabal Shamar,JAB,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_legacy_slavery
Saudi,NEJ,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Qatar,,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Kuwait,,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Bahrain,BHN,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Trucial States,ABU,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Aden Protectorate,,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Ceylon,CEY,law_presidential_republic,law_autocracy,law_racial_segregation,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_no_home_affairs,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_dedicated_police_force,law_religious_schools,law_charity_hospitals,law_right_of_assembly,law_no_workers_rights,law_child_labor_allowed,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Sarawak,ROS,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Sulu,SUL,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Brunei,BRU,law_monarchy,law_autocracy,law_racial_segregation,law_state_religion,law_hereditary_bureaucrats,law_peasant_levies,law_no_home_affairs,law_traditionalism,law_mercantilism,law_land-based_taxation,law_tenant_farmers,law_no_colonial_affairs,law_local_police_force,law_religious_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_child_labor_allowed,law_legal_guardianship,law_no_social_security,law_no_migration_controls,law_slavery_banned
Cuba,CUB,law_presidential_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_free_trade,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_restricted_child_labor,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Haiti,HAI,law_presidential_republic,law_census_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_professional_army,law_national_guard,law_interventionism,law_mercantilism,law_per_capita_taxation,law_tenant_farmers,law_no_colonial_affairs,law_no_police,law_public_schools,law_no_health_system,law_censorship,law_no_workers_rights,law_compulsory_primary_school,law_propertied_women,law_no_social_security,law_no_migration_controls,law_slavery_banned
Sweden,SWE,law_monarchy,law_universal_suffrage,law_cultural_exclusion,law_freedom_of_conscience,law_appointed_bureaucrats,law_national_militia,law_national_guard,law_interventionism,law_mercantilism,law_proportional_taxation,law_homesteading,law_no_colonial_affairs,law_dedicated_police_force,law_public_schools,law_charity_hospitals,law_protected_speech,law_regulatory_bodies,law_compulsory_primary_school,law_propertied_women,law_poor_laws,law_no_migration_controls,law_slavery_banned
